level,word,part_of_speech,definition,synonyms,more_synonyms
12,inspect,v,look over carefully,inspect,"examine, examine, estimate, analyze, look, poll"
12,inspiration,n,arousal of the mind to special unusual activity or creativity,inspiration,"idea, respiration, artistry, bliss, mental state, help"
12,instrumental,adj,relating to or designed for or performed on musical instruments,instrumental,"influential, be responsible, beneficial, powerful, advantageous, secondary"
12,insure,v,be careful or certain to do something; make certain of something,"see, check, insure, see to it, ensure, control, ascertain, assure","protect, clinch, compensate, protect, guarantee, pledge"
12,integral,adj,existing as an essential constituent or characteristic,"built-in, constitutional, inbuilt, inherent, integral","necessary, complete, included, companion, total, constituent"
12,intense,adj,possessing or displaying a distinctive feature to a heightened degree,,
12,intensity,n,the amount of energy transmitted (as by acoustic or electromagnetic radiation),"intensity, strength, intensity level","force, enthusiasm, pigment, style, measure, recognition"
12,intensive,adj,characterized by a high degree or intensity; often used as a combining form,intensive,"exhaustive, intense, complete, forceful, exhaustive, exhaustive"
12,intent,adj,giving or marked by complete attention to,"captive, absorbed, engrossed, enwrapped, intent, wrapped","determined, purpose, captivated, goal, desire, driven"
12,interact,v,act together or towards others or with others,interact,"communicate, inform, communicate, equate, interconnect, switch"
12,interim,adj,serving during an intermediate interval of time,interim,"temporary, interval, substituting, period, time during which an activity is stopped, interruption"
12,interrupt,v,make a break in,"interrupt, disrupt, break up, cut off","bother, cancel, stop, charge, charge, stop"
12,intimate,adj,"marked by close acquaintance, association, or familiarity",intimate,"friendly, private, friend, suggest, hint, proclaim"
12,invoke,v,"summon into action or bring into existence, often as if by magic","raise, conjure, conjure up, invoke, evoke, stir, call down, arouse, bring up, put forward, call forth","call upon, use, request, beg, cast spell, carry out"
12,jungle,n,a location marked by an intense competition and struggle for survival,,
12,justify,v,show to be reasonable or provide adequate ground for,"justify, warrant","legitimize, explain, support, appeal, insist, certify"
12,keen,adj,having or demonstrating ability to recognize or draw fine distinctions,"acute, discriminating, incisive, keen, knifelike, penetrating, penetrative, piercing, sharp","enthusiastic, sharp, intelligent, talented, satisfactory, involved"
12,landmark,n,the position of a prominent or well-known object in a particular landscape,landmark,"sight, turning point, information, achievement"
12,latitude,n,the angular distance between an imaginary line around a heavenly body parallel to its equator and the equator itself,latitude,"freedom, width, volume, complete authority, weather, room to maneuver"
12,legitimate,adj,of marriages and offspring; recognized as lawful,legitimate,"authentic, allowable, real, official, approved, authentic and genuine"
12,levy,v,impose and collect,"levy, impose","assessment, assess, request, estimate, charge, price"
12,literacy,n,the ability to read and write,literacy,"reading, instruction, awareness, culturation"
12,literal,adj,being or reflecting the essential or genuine character of something,"actual, genuine, literal, real","exact, precise, simple, accurate, unoriginal, accurate"
12,litigation,,,,
12,lobby,n,a large entrance or reception room or area,"anteroom, antechamber, entrance hall, hall, foyer, lobby, vestibule","hall, influence, crusade, hallway, protest, way in"
12,logical,adj,capable of or reflecting the capability for correct and valid reasoning,logical,"reasonable, allowable, ordered, examining and determining, examining, understandable"
12,magnitude,n,the property of relative size or extent (whether large or small),magnitude,"importance, size, quantity, extent, largeness, volume"
12,mandate,v,assign under a mandate,mandate,"authority, authorization, authorize, decree, command, command"
12,mandatory,adj,required by rule,"compulsory, mandatory, required","required, official, necessary, binding, socially obligatory, compulsory"
12,martial,adj,(of persons) befitting a warrior,"soldierly, soldierlike, warriorlike, martial","militant, Far Eastern discipline or sport, law imposed by the military, military tribunal, belligerent, brave"
12,maximize,v,make as big or large as possible,"maximize, maximise","blow up, dramatize"
12,meditation,n,continuous and profound contemplation or musing on a subject or series of subjects of a deep or abstruse nature,"meditation, speculation","contemplation, thought, idea, thought, discussion, conclusion"
12,membrane,n,a thin pliable sheet of material,membrane,"layer, amniotic sac, hair, covering, coating, peel"
12,mentor,v,serve as a teacher or trusted counselor,mentor,"adviser, person who recommends, teaches, or otherwise helps, guide, instructor, professional advisor, adviser"
12,merge,v,become one,"unify, unite, merge","join, blend, group, mix, attach, differ"
12,merger,n,the combination of two or more commercial companies,"amalgamation, merger, uniting","consolidation, adding, business group, alliance, mixture, association"
12,merit,v,be worthy or deserving,"deserve, merit","advantage, be entitled, pleasantry, advantage, capacity, recognition"
12,merry,adj,full of or showing high-spirited merriment,"gay, jocund, jolly, jovial, merry, mirthful","happy, buoyant, funny, happy, cheerful, clown"
12,mild,adj,moderate in type or degree or effect or force; far from extreme,mild,"gentle, pleasant, friendly, pleasing, friendly, humid"
12,mild,,Synonyms:,"More Synonyms: gentle, pleasant, friendly, pleasing, friendly, humid","gentle, pleasant, friendly, pleasing, friendly, humid"
12,millennium,n,a span of 1000 years,"millennium, millenary","one thousand years, tomorrow"
12,miniature,n,painting or drawing included in a book (especially in illuminated medieval manuscripts),,
12,minimal,adj,the least possible,"minimal, minimum","littlest, not important, slightest, inadequate, slight, least"
12,missile,n,a rocket carrying a warhead of conventional or nuclear explosives; may be ballistic or directed by remote control,missile,"weapon, guided missile, long-range guided missile, steerable missile, long-range missile, projectiles"
12,mobility,n,the quality of moving freely,mobility,"ability to move, climbing in status, movement, movement, motion"
12,mortality,n,the quality or state of being mortal,mortality,"death, humanness, end, death, humankind, the human race"
12,motivate,v,give an incentive for action,"motivate, actuate, propel, move, prompt, incite","stimulate, take action, initiating, start, start, bring about"
12,narrative,n,a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program,"narrative, narration, story, tale","storylike, story, narrative, story, life, account"
12,narrative,adj,consisting of or characterized by the telling of a story,narrative,"storylike, story, narrative, story, life, account"
12,necessity,n,the condition of being essential or indispensable,necessity,"need, obligated, need, drive, requirement, force"
12,neglect,v,leave undone or leave out,"neglect, pretermit, omit, drop, miss, leave out, overlook, overleap",
12,neutral,adj,having no personal preference,"impersonal, neutral","impartial, dull, meeting ground, brown, area of separation, composed"
12,nevertheless,adv,despite anything to the contrary (usually following a concession),"however, nevertheless, withal, still, yet, all the same, even so, nonetheless, notwithstanding","however, any way, anyhow, although, however, despite, however"
12,nickname,v,give a nickname to,"dub, nickname","fun title, name, name, saying, name, title"
12,norm,n,a standard or model or pattern regarded as typical,norm,"average, normal, test, measure, standard, average"
12,notable,adj,worthy of notice,"noteworthy, notable","famous, VIP, wonderful year, very important person, very important person, famous"
12,notion,n,a vague idea in which some confidence is placed,"impression, feeling, belief, notion, opinion","idea, desire, idea held before an event, understanding, outlook, faith"
12,novelty,n,originality by virtue of being refreshingly novel,"freshness, novelty","originality, gadget, alteration, change, fad, deviation"
12,nutrient,n,any substance that can be metabolized by an animal to give energy and build tissue,"food, nutrient","source of nourishment, digestive, healthful, healthy"
12,oasis,n,a fertile tract in a desert (where the water table approaches the surface),oasis,
12,offensive,n,the action of attacking an enemy,"offense, offence, offensive","insulting, attacking, attack, disgusting, awful, mean"
12,opponent,n,a contestant that you are matched against,"opposition, opponent, opposite","competitor, person wanting something ended, problem, disliked person, challenger, foe"
12,opposition,n,the action of opposing something that you disapprove or disagree with,"resistance, opposition","antagonism, competitors, opposite to, disgust, contrast, on the contrary"
12,opus,n,a musical work that has been created,"musical composition, opus, composition, piece, piece of music","great work, greatest single work, document, model, creation, concoction"
12,organism,n,a living thing that has (or can develop) the ability to act or function independently,"organism, being","living, animate, object, detail, offspring or relatives, being"
12,originate,v,come into existence; take on form or shape,"originate, arise, rise, develop, uprise, spring up, grow","begin, create, happen, start, happen, generate"
12,overcome,v,win a victory over,"get the better of, overcome, defeat","overwhelmed, beat, influence, defeat, defeated, defeat"
12,overlap,v,coincide partially or wholly,overlap,"lie over, fold, wing, doubling, crease, coating"
12,overlook,v,"look past, fail to notice",overlook,"disregard, make allowance, view, supervise, ignore, control"
12,overwhelm,,,,
12,partition,n,a vertical structure that divides or separates (as a wall divides one room from another),"partition, divider","division, separate, examination, divide, fortification, distribute"
12,passive,adj,lacking in energy or will,"passive, inactive","lifeless, nonviolent protest, smoke inhaled by nonsmokers, disinterested, eluding, sleeping"
12,passport,n,any authorization to pass or go somewhere,"pass, passport","identification, references, working card, photograph of head, labelling, answer"
12,pathology,n,the branch of medical science that studies the causes and nature and effects of diseases,pathology,plant study
12,patriot,n,one who loves and defends his or her country,"patriot, nationalist",countryman
12,pend,,Synonyms:,"More Synonyms: contingent, depend on, be contingent","contingent, depend on, be contingent"
12,peninsula,n,a large mass of land projecting into a body of water,peninsula,"promontory, land surrounded by body of water, headland"
12,perceive,v,to become aware of through the senses,"perceive, comprehend","notice, understand, recognize, understand, look at, understand"
12,perception,n,the representation of what is perceived; basic component in the formation of a concept,,
12,phenomenon,n,any state or process known through the senses rather than by intuition or reasoning,phenomenon,"wonder, divine act, pretense, happening, happening, detail"
12,pierce,v,cut or make a way through,pierce,"stab, grip, drill, open, blow, divide"
12,pledge,v,promise solemnly and formally,"pledge, plight","word, good faith, guarantee, warranty, certify, assurance"
12,plumb,adv,completely; used as intensifiers,"clean, plumb, plum","vertical, probe, descend, completely, flat, understand"
12,polar,adj,having a pair of equal and opposite charges,polar,"cold, opposite, area of North Pole, position on globe, push of cold air, frozen"
12,possess,v,"have as an attribute, knowledge, or skill",possess,"obtain, support, have advantage, enchant, rape, have"
12,prairie,n,a treeless grassy plain,prairie,"grassland, covered wagon, coyote, wagon with a canvas roof, land, meadow"
12,praise,v,express approval of,praise,"congratulations, congratulate, approval, approve, recognition, respect"
12,precede,v,be earlier in time; go back further,"predate, precede, forego, forgo, antecede, antedate","go ahead, occur earlier, prepare, manage, tell, make known"
12,precious,adj,characterized by feeling or showing fond affection for,"cherished, precious, treasured, wanted","favorite, expensive, sophisticated, cute, changed, adored"
12,prediction,n,the act of predicting (as by reasoning about the future),"prediction, anticipation, prevision","forecast, proclamation, prediction, estimating, estimate, fortune-telling"
12,premiere,n,the first public performance of a play or movie,premiere,"original, premier dancer, first performance, early showing of entertainment"
12,prerequisite,n,something that is required in advance,"prerequisite, requirement","necessary, necessity, requirement, vital, necessity, necessary"
12,preservation,n,the activity of protecting something from loss or danger,"preservation, saving","protection, addition, supervision, environmental science, sustenance, guardianship"
12,probability,,Synonyms:,"More Synonyms: likelihood, frequency distribution, theory of games, possibility, possibility, believeableness","likelihood, frequency distribution, theory of games, possibility, possibility, believeableness"
12,procurement,n,the act of getting possession of something,"procurement, procurance, procural","receiving, achievement, information retrieval, supplies"
12,productive,adj,producing or capable of producing (especially abundantly),productive,"fruitful, favorable, helpful, imaginative, active, financial"
12,profession,n,the body of people in a learned occupation,profession,"work, declaration, recognition, confession, happening, defense"
12,profitable,adj,yielding material gain or profit,,
12,prominent,adj,having a quality that thrusts itself into attention,"outstanding, prominent, salient, spectacular, striking","conspicuous, important, excellent, important, obvious, bright"
12,proportion,n,the quotient obtained when the magnitude of a part is divided by the magnitude of the whole,proportion,"relativity, balance, balanced, corresponding, balanced, conform, adjust"
12,proprietary,n,an unincorporated business owned by a single person who is responsible for its liabilities and entitled to its profits,"proprietorship, proprietary","solution, possession, proprietary medicine, ownership, possessions, owner"
12,prospective,adj,of or concerned with or related to the future,prospective,"anticipated, engaged woman, approaching, future, person engaged to marry, person engaged to marry"
12,prototype,n,a standard or typical example,"prototype, paradigm, epitome, image","example, example, plan, model, test, instance"
12,provincial,adj,of or associated with a province,provincial,"countrified, crude, creep, pioneering, rural, rural person"
12,proxy,n,a person authorized to act for another,"proxy, placeholder, procurator","agent, mail-in vote, representative, substitute, lawyer, duty"
12,psychological,adj,mental or emotional as opposed to physical in nature,psychological,"mind, important, unhealthy disturbance in eating behavior, strategy to avoid unpleasant realities, person's mental attitude, disadvantage"
12,radical,adj,(used of opinions and actions) far beyond the norm,,
12,raid,n,a sudden short attack,"foray, raid, maraud","attack, attack, aerial bombardment, attack, aerial bombardment, physical assault"
12,rally,v,gather,"beat up, drum up, rally","celebration, improvement, reorganize, revive, excite, congregate"
12,rant,v,"talk in a noisy, excited, or declamatory manner","rant, mouth off, jabber, spout, rabbit on, rave","yelling, yell, madden, chat, bully, boastfulness"
12,rational,adj,consistent with or based on or using reason,rational,"realistic, allowable, examining and determining, examining, tenable, trustworthy"
12,react,v,show a response or a reaction to something,"react, respond","respond, respond, behave, reply, function, backfire"
12,realistic,adj,aware or expressing awareness of things as they really are,realistic,"sensible, genuine, real, reasonable, reasonable, explicit"
12,realm,n,a domain in which something is dominant,"kingdom, land, realm","area, educational world, happening, activity, boundary, nation"
12,rebel,n,`Johnny’ was applied as a nickname for Confederate soldiers by the Federal soldiers in the American Civil War; `greyback’ derived from their grey Confederate uniforms,"Rebel, Reb, Johnny Reb, Johnny, greyback","not obeying, malcontent, refuse, disobedient, misbehave, misbehave badly"
12,reconstruction,,,,
12,redeem,v,save from sins,"deliver, redeem, save","recover, free, compensate, compensate, equal, purchase"
12,redirect,v,channel into a new direction,"redirect, airt","turn, divert, reverse"
12,regime,n,the organization that is the governing authority of a political unit,"government, authorities, regime","leadership, period, abstinence, rule, administration, totalitarian rule"
12,regression,n,an abnormal state in which development has stopped prematurely,"arrested development, fixation, infantile fixation, regression","perversion, backsliding, motion, conservativism, deterioration, opposite"
12,reinforce,v,make stronger,"reinforce, reenforce","strengthen, help, improve, help, support, amplify"
12,relevance,n,the relation of something to the matter at hand,"relevance, relevancy","use, significance, effectiveness, interest, relation, significance"
12,remarkable,adj,unusual or striking,"remarkable, singular","extraordinary, wonderful year, outstanding, important, very odd, famous"
12,renaissance,n,the period of European history at the close of the Middle Ages and the rise of the modern world; a cultural rebirth from the 14th through the middle of the 17th centuries,"Renaissance, Renascence","rebirth, person taking on multiple roles, revival, rebirth, renewed energy"
12,renew,v,"reestablish on a new, usually improved, basis or make new or like new","regenerate, renew","start over, recuperate quickly, begin again, inspire, encourage, renovate"
12,replica,n,copy that is not the original; something that has been copied,"replica, replication, reproduction","duplicate, exact likeness, mold, duplicate, perfect likeness, clone"
12,reputation,n,the state of being held in high esteem and honor,"repute, reputation","opinion, make disparaging charges against someone, fame, individuality, integrity, circumstances"
12,reside,v,make one’s home in a particular place or community,"reside, shack, domicile, domiciliate","live in, inhabit, correspond, wait, exist, live in"
12,residue,n,matter that remains after something has been removed,residue,"leftover, account, sediment, leftover, overabundance, sediment"
12,resist,v,"elude, especially in a baffling way","defy, resist, refuse","withstand, stop, fight, challenge, compete, contradict"
12,resistant,adj,relating to or conferring immunity (to disease or infection),"immune, resistant","disobedient, unwilling, sturdy, fixed, unburnable, unfeeling"
12,retreat,v,pull back or move away or backward,"withdraw, retreat, pull away, draw back, recede, pull back, retire, move back","departure, vacation, pull back, refuge, eluding, reverse"
12,revelation,n,the speech act of making something evident,"disclosure, revelation, revealing","telling, confession, proclamation, divulgence, exchange, information"
12,revolutionary,adj,markedly new or introducing radical change,"revolutionary, radical","rebellious, new, progressive, person wanting something ended, provoker, insurgent, pioneering"
12,rival,v,be equal to in quality or ability,"equal, touch, rival, match","opposing, competitor, oppose, opponent, equal, problem"
12,robust,adj,"sturdy and strong in form, constitution, or construction",robust,"healthy, strong, adjusting, agile, muscular, bosomy"
12,rocky,adj,abounding in rocks or stones,"rocky, bouldery, bouldered, stony","rugged, inflexible, doubtful, ill, dangerous, jagged"
12,roster,n,a list of names,"roll, roster","list, list, written or printed matter featuring a selection of objects, document, guide, number of people in a group"
12,ruin,v,destroy completely; damage irreparably,"destroy, ruin","failure, destroy, injure, destroy, heirloom, heirloom"
12,sacrifice,v,endure the loss of,"sacrifice, give","give up, denial, sanctify, hit, donate, penalty"
12,sage,n,a mentor in spiritual and philosophical topics who is renowned for profound wisdom,sage,"wise, wise person, genius, bush, cautious, discriminating"
12,sanction,v,give sanction to,"approve, O.K., okay, sanction","authorization, punishment, authorize, encourage, authorize, benefit"
12,savanna,n,a flat grassland in tropical or subtropical regions,"savanna, savannah","grassland, meadow, grassland"
12,scent,n,a distinctive odor that is pleasant,"aroma, fragrance, perfume, scent","smell, smell, smell, character, aroma, inhale"
12,selective,adj,tending to select; characterized by careful choice,selective,"discriminating, compulsory military system, discriminating, exclusive, critical, conscription"
12,sensitivity,n,(physiology) responsiveness to external stimuli; the faculty of sensation,"sensitivity, sensitiveness, sensibility","responsiveness, intelligence, reaction to certain food, material, etc., recognition, differentiation, attention"
12,sheer,adj,complete and without restriction or qualification; sometimes used informally as intensifiers,"absolute, downright, out-and-out, rank, right-down, sheer","abrupt, absolute, see-through, complete, simple, absolute"
12,similarity,n,the quality of being similar,similarity,"likeness, concurrence, agreement, contrasting, correspondence, regularity"
12,simplify,v,make simpler or easier or reduce in complexity or extent,simplify,"make easy, explain, clear up, unwind, help, assist"
12,simulate,v,reproduce someone’s behavior or looks,"imitate, copy, simulate","pretend, entertaining, pretend, pretend, deceive, appropriate"
12,simultaneous,adj,occurring or operating at the same time,"coincident, coincidental, coinciding, concurrent, co-occurrent, cooccurring, simultaneous","coexistent, concurring, existing"
12,sincere,adj,open and genuine; not deceitful,sincere,"straightforward, simple, abrupt, honest, friendly, believable"
12,situate,v,"determine or indicate the place, site, or limits of, as if by an instrument or by a survey","situate, locate","locate, hide, settle, locate, position, position"
12,spatial,adj,pertaining to or involving or having the nature of space,"spatial, spacial",
12,spectacular,adj,sensational in appearance or thrilling in effect,"dramatic, spectacular, striking","wonderful, surprising, overstated, spectacle, noticeable, wonderful"
12,sphere,n,a particular environment or walk of life,"sphere, domain, area, orbit, field, arena","globe, influence, geographical area of influence, extent, region, activity"
12,steady,adj,not subject to change or variation especially in behavior,steady,"stable, continuing, faithful, lasting, hard-working, equal"
12,stimulate,v,act as a stimulant,"stimulate, excite","excite, speed, initiating, start, disturb, activate"
12,stir,v,move an implement through,stir,"commotion, mix up, incite, get going, activity, initiating"
12,strive,v,attempt by employing effort,"endeavor, endeavour, strive","try for, suffer, point, attempt, attempt to get, hope"
12,subsidiary,n,an assistant subject to the authority or control of another,"subordinate, subsidiary, underling, foot soldier","secondary, supplementary, extension, supplementary, department, accessory"
12,superb,adj,of surpassing excellence,"brilliant, superb","first-rate, expert, dignified, attractive, famous, superior"
12,surge,v,"rise and move, as in waves or billows","billow, surge, heave","rush, rush, profusion, throbbing, mass, blow-up"
12,surplus,n,a quantity much larger than is needed,"excess, surplus, surplusage, nimiety","extra, extra, account, blockage, assets, share"
12,surveillance,n,close observation of a person or group (usually by the police),surveillance,"observation, judgment, examination, examination, guard, attention"
12,suspend,v,hang freely,suspend,"hang, delay, stop, prohibit, stop, end"
12,swift,adj,moving very fast,"fleet, swift","very fast, very fast, nimble, concise, casual, immoral"
12,synthesis,n,the process of producing a chemical compound (usually by the union of simpler chemical compounds),synthesis,"combining, mix, mixture, composite, combination, combination"
12,tension,n,(psychology) a state of mental or emotional strain or suspense,"tension, tenseness, stress","tightness, stress, upset, equilibrium, extreme tension, bad result"
12,terminate,v,bring to an end or halt,"end, terminate","stop, eliminate, cancel, terminate, dismiss, dismiss from service"
12,termination,n,a coming to an end of a contract period,"termination, expiration, expiry","end, elimination, termination, limit, limit, farthest limit"
12,texture,n,the feel of a surface or a fabric,,
12,theoretical,adj,concerned primarily with theories or hypotheses rather than practical considerations,"theoretical, theoretic","hypothetical, conceptual, philosophical, abyss, speculative, truthful"
12,therapeutic,adj,tending to cure or restore to health,"curative, healing, alterative, remedial, sanative, therapeutic","healing, healing, healing, solution, fitness center, healing"
12,thereby,adv,by that means or because of that,thereby,
12,thesis,n,an unproved statement put forward as a premise in an argument,thesis,"belief, dissertation, theory, faith, pith, creation"
12,thorough,adj,painstakingly careful and accurate,thorough,"exhaustive, absolute, complete, perfect, immeasurable, complete"
12,timely,adj,before a time limit expires,timely,"at the right time, suitably, suitable, encouraging, useful, beginning"
12,tolerance,n,the power or capacity of an organism to tolerate unfavorable environmental conditions,tolerance,"open-mindedness, fortitude, forgiveness, regard, stamina, similarity"
12,toxic,adj,of or relating to or caused by a toxin or poison,toxic,"poisonous, hazardous waste, ending, injurious, injurious, environmental pollutant"
12,tract,n,an extended area of land,,
12,transcription,n,"something written, especially copied from one medium to another, as a typewritten version of dictation","transcription, written text","duplicate, simulation, written music, pronunciation system, account, music"
12,transparent,adj,transmitting light; able to be seen through with clarity,"crystalline, crystal clear, limpid, lucid, pellucid, transparent","see-through, obvious, obvious, shameless, sunny, understandable"
12,tribute,n,something given or done as an expression of esteem,"tribute, testimonial","testimonial, approval, thankfulness, bribe, award, honor"
12,trio,n,the cardinal number that is the sum of one and one and one,"three, 3, III, trio, threesome, tierce, leash, troika, triad, trine, trinity, ternary, ternion, triplet, tercet, terzetto, trey, deuce-ace","three, collection, group"
12,uncertainty,n,being unsettled or in doubt or dependent on chance,"uncertainty, uncertainness, precariousness","doubt, principle of indeterminacy, uncertainty, equivocation, worry, gamble"
12,undergo,v,pass through,undergo,"be subjected to, endure, happen upon, bear hardship, experience, endure"
12,underlie,v,be or form the base for,underlie,influence
12,underlie,,Synonyms:,More Synonyms: influence,influence
12,undo,v,"cancel, annul, or reverse an action or its effect",undo,"open, nullify, eliminate, abolish, destroy, void"
12,unemployment,n,the state of being unemployed or not having a job,unemployment,"unemployment compensation, decline, inaction, unemployed, dismissal from job or responsibility, free time"
12,unexpected,adj,not expected or anticipated,unexpected,"surprising, different, sudden, unexpected, chance, possible"
12,unify,v,become one,"unify, unite, merge","unite, harmonize, concentrate, concentrate, connect, condense"
12,unlikely,adj,not likely to be true or to occur or to have occurred,"improbable, unlikely","not probable, allowable, remote possibility, doubtful, strange, hard to believe"
12,upset,v,disturb the balance or stability of,upset,"disturbed, problem, disorder, bother, defeat, upset the norm"
12,urgent,adj,compelling immediate action,"pressing, urgent","demanding, important, important, effective, obsessive, danger"
12,validate,v,declare or make legally valid,"validate, formalize, formalise","ascertain, authorize, certify, substantiate, declare, confirm"
12,velocity,n,distance travelled per unit time,"speed, velocity","speed, swiftness, energy, speed, motion, speed"
12,vent,v,give expression or utterance to,"vent, ventilate, give vent","outlet, let out, air out, hole, burp, smokestack"
12,vertex,,,,
12,viable,adj,capable of being done with means at hand and circumstances as they are,"feasible, executable, practicable, viable, workable","reasonable, existent, alive, tenable, financial, possible"
12,victor,n,a combatant who is able to defeat rivals,"victor, master, superior","winner, defeater, champion, brave person, brave person; champion, expert"
12,violate,v,fail to agree with; be in violation of; as of rules or patterns,"violate, go against, break","break law, defile, injure, attack, violate law, perform"
12,violent,adj,acting with or marked by or resulting from great force or energy or emotional intensity,violent,"destructive, severe, intense, painful, crazed, uncontrolled"
12,virtue,n,the quality of doing what is right and avoiding what is wrong,"virtue, virtuousness, moral excellence","honor, faith hope and charity, feature, capacity, abstinence, purity"
12,vulnerable,adj,susceptible to attack,vulnerable,"attackable, in danger, weak point, hazardous, powerless, helpless"
12,waiver,n,a formal written statement of relinquishment,"release, waiver, discharge","giving up, repudiation, rejection"
12,weakness,,Synonyms:,"More Synonyms: defect, vulnerable point, vulnerability, love, fondness, liking","defect, vulnerable point, vulnerability, love, fondness, liking"
12,wetland,n,a low area where the land is saturated with water,wetland,
12,wicked,adj,morally bad in principle or practice,wicked,"bad, destructive, expert, bad, respected, promiscuous"
12,wisdom,n,accumulated knowledge or erudition or enlightenment,wisdom,"insight, intelligence, piece of advice, ingenuity, reasoning, insight"
12,withdraw,v,pull back or move away or backward,"withdraw, retreat, pull away, draw back, recede, pull back, retire, move back","remove, retract, desert, give up, give up, extract"
12,withdrawal,n,a retraction of a previously held position,"withdrawal, backdown, climb-down","removal, elimination, cancellation, unfriendliness, discord, complete and sudden withdrawal from an addictive substance"
12,worthy,adj,having worth or merit or value; being honorable or admirable,worthy,"honorable, deserving, capable, respected, allowable, suitable Copyright 2007 Audrey Walton. All rights reserved. Definitions from WordNet 3.0 Copyright 2006 by Princeton University. All rights reserved."
13,abnormal,adj,not normal; not typical or usual or regular or conforming to a norm,"abnormal, unnatural","different, abnormal, deviating, nonconforming, broken, differing"
13,abundant,adj,present in great quantity,abundant,"plentiful, overflowing, plentiful, plentiful, sufficient, ample"
13,acclaim,v,praise vociferously,"acclaim, hail, herald","approval, approve, approval, glorify, clap, clapping"
13,accrue,v,grow by addition,accrue,"increase, gather, profit, arise, develop, produce"
13,acronym,n,a word formed from the initial letters of the several words in the name,acronym,
13,adaptive,adj,having a capacity for adaptation,"adaptive, adaptative",adjusting
13,adhere,v,be compatible or in accordance with,adhere,"stick, join, fasten, stand by, attach, blend"
13,admire,v,feel admiration for,"admire, look up to","respect, love, value, applaud, care, honor"
13,advent,n,arrival that has been awaited (especially of something momentous),"advent, coming","beginning, manifestation, arriving, landing, arrival, beginning"
13,aesthetic,adj,relating to or dealing with the subject of aesthetics,,
13,aesthetic,adj,concerning or characterized by an appreciation of beauty or good taste,"aesthetic, esthetic, aesthetical, esthetical","beautiful, recognition, beautiful, simplicity, alert, well-bred"
13,affinity,n,(immunology) the attraction between an antigen and an antibody,affinity,"liking, similiarity, custom credit card, special interest group, concurrence, association"
13,affirm,v,establish or strengthen as with new evidence or facts,"confirm, corroborate, sustain, substantiate, support, affirm","declare, believe, consent, agree, confess, take on"
13,alteration,n,an event that occurs when something passes from one state or phase to another,"change, alteration, modification","change, willingness, adaptation, correction, document, change"
13,altitude,n,elevation especially above sea level or above the earth’s surface,"altitude, height","height, weather, chamber with changeable atmospheric pressure, height, high ground, upper-atmospheric wind"
13,ambition,n,a cherished desire,"ambition, aspiration, dream","drive, desire, goal, hope, thought, want"
13,ambitious,adj,having a strong desire for success or achievement,ambitious,"driven, effortful, hope, hopeful, combative, challenging"
13,amnesty,v,grant a pardon to (a group of people),amnesty,"pardon, forgiveness, freeing, forgive, forgive, pardon"
13,ample,adj,more than enough in size or scope or capacity,ample,
13,amuse,v,"occupy in an agreeable, entertaining or pleasant fashion","amuse, divert, disport","entertain, charm, caress, make happy, adore, confuse"
13,annuity,n,income from capital investment paid in a series of regular payments,"annuity, rente","gain, amount, fee, retirement benefits, income"
13,anomaly,n,deviation from the normal or common order or form or rule,"anomaly, anomalousness","deviation, difference, difference, congenital abnormality, birth defect, odd item"
13,anthem,n,a song of devotion or loyalty (as to a nation or school),anthem,"song, melody"
13,anthology,n,a collection of selected literary passages,anthology,"collection, holder, accumulation, assemblage, collection"
13,anthropology,n,the social science that studies the origins and social relationships of human beings,anthropology,"culture, study of evolution, ancient cultures, social psychology, study of human population, any branch of natural science"
13,anxious,adj,eagerly desirous,"anxious, dying","worried, eager, fearful, horrified, enthralled, driven"
13,aperture,n,a device that controls amount of light admitted,aperture,"hole, gap, opening, gap, entrance, breach"
13,apex,n,the highest point (of something),"vertex, peak, apex, acme","high point, culmination, increase to climax, point, best, conclusion"
13,apologize,,,,
13,apology,n,an expression of regret at having caused trouble for someone,apology,"regret, appreciation, public apology, compensation, settle an argument, explanation"
13,append,v,add to the very end,"append, add on, supplement, affix","add, coincide, increase, attach, attach, add"
13,apprentice,n,works for an expert to learn a trade,"apprentice, learner, prentice","learner, learner, helper, unskilled, worker, male"
13,approximation,n,an approximate calculation of quantity or degree or worth,"estimate, estimation, approximation, idea","educated guess, touching, concept, equal, balance, likeness"
13,arsenal,n,all the weapons and equipment that a country has,"arsenal, armory, armoury","weapons, depot, storage, weapons, ammunition, supply place"
13,articulate,v,provide with a joint,"joint, articulate","coherent, say, connect, tell, distribute, witty"
13,artifact,n,a man-made object taken as a whole,"artifact, artefact","heirloom, lie, artwork, result, saved item"
13,aspire,v,have an ambitious plan or a lofty goal,"draw a bead on, aspire, aim, shoot for","hope, pretend, point, think about, desire, want"
13,assay,v,analyze (chemical substances),assay,"analysis, analyze, examination, examine, estimate, evaluate"
13,assertion,,,,
13,assort,,Synonyms:,"More Synonyms: sort, categorize, categorize, change, classify, spread out","sort, categorize, categorize, change, classify, spread out"
13,astrology,n,a pseudoscience claiming divination by the positions of the planets and sun and moon,"astrology, star divination","prophesy, star-gazing, astrological forecast, charm"
13,asylum,n,a shelter from danger or hardship,"refuge, sanctuary, asylum","refuge, hospital, mental institution, insane asylum, hiding place, bounded area"
