level,word,part_of_speech,definition,synonyms,more_synonyms,mnemonic,context_sentence,story_builder,mnemonic_source_url
13,prestigious,adj,having an illustrious reputation; respected,"esteemed, honored, prestigious","famous, important, praised, beautiful",Think of 'prestigious' as 'pre' to help remember it means having an illustrious reputation; respected.,My toy is very 'prestigious' because it is having an illustrious reputation; respected.,"Yesterday, I had to ___ when I having an illustrious reputation; respected. Choices: [prestigious, play, jump].",
13,presume,v,take to be the case or to be true; accept without verification or proof,"assume, presume, take for granted","believe, dare, take, believe, trust, assume",Think of 'presume' as 'pre' to help remember it means take to be the case or to be true; accept without verification or proof.,We can 'presume' when we take to be the case or to be true; accept without verification or proof.,"Yesterday, I had to ___ when I take to be the case or to be true; accept without verification or proof. Choices: [presume, play, jump].",
13,prevail,v,"be larger in number, quantity, power, status or importance","predominate, dominate, rule, reign, prevail","control, persuade, persuade, influence, influence, appeal, exist","Think of 'prevail' as 'pre' to help remember it means be larger in number, quantity, power, status or importance.","We can 'prevail' when we be larger in number, quantity, power, status or importance.","Yesterday, I had to ___ when I be larger in number, quantity, power, status or importance. Choices: [prevail, play, jump].",
13,prevail,v,"be valid, applicable, or true","prevail, hold, obtain","control, persuade, persuade, influence, influence, appeal, exist","Think of 'prevail' as 'pre' to help remember it means be valid, applicable, or true.","We can 'prevail' when we be valid, applicable, or true.","Yesterday, I had to ___ when I be valid, applicable, or true. Choices: [prevail, play, jump].",
13,preventative,,Synonyms:,"More Synonyms: decontaminator, birth control, impediment, carefulness","decontaminator, birth control, impediment, carefulness",Think of 'preventative' as 'pre' to help remember it means Synonyms:.,I will use the word 'preventative' in a sentence: It is Synonyms:.,"Yesterday, I had to ___ when I Synonyms:. Choices: [preventative, play, jump].",
13,preventive,adj,preventing or contributing to the prevention of disease,"preventive, preventative, prophylactic","counteraction, decontaminator, immunizer, difficulty, birth control, protective",Think of 'preventive' as 'pre' to help remember it means preventing or contributing to the prevention of disease.,My toy is very 'preventive' because it is preventing or contributing to the prevention of disease.,"Yesterday, I had to ___ when I preventing or contributing to the prevention of disease. Choices: [preventive, play, jump].",
13,prey,n,a person who is the aim of an attack (especially a victim of ridicule or exploitation) by some hostile person or influence,"prey, quarry, target, fair game","target, attack, attack, terrorize, carnivorous bird, victim, pursuit",Think of 'prey' as 'pre' to help remember it means a person who is the aim of an attack (especially a victim of ridicule or exploitation) by some hostile person or influence.,The word 'prey' is a thing: it means a person who is the aim of an attack (especially a victim of ridicule or exploitation) by some hostile person or influence.,"Yesterday, I had to ___ when I a person who is the aim of an attack (especially a victim of ridicule or exploitation) by some hostile person or influence. Choices: [prey, play, jump].",
13,primitive,adj,belonging to an early stage of technical development; characterized by simplicity and (often) crudeness,"crude, primitive, rude","ancient, barbaric, native, first inhabitant, out-of-date, apostolic practice",Think of 'primitive' as 'pri' to help remember it means belonging to an early stage of technical development; characterized by simplicity and (often) crudeness.,My toy is very 'primitive' because it is belonging to an early stage of technical development; characterized by simplicity and (often) crudeness.,"Yesterday, I had to ___ when I belonging to an early stage of technical development; characterized by simplicity and (often) crudeness. Choices: [primitive, play, jump].",
13,proclaim,v,declare formally; declare someone to be something; of titles,proclaim,"advertise, confess, publicize, declare, proclaim, insist",Think of 'proclaim' as 'pro' to help remember it means declare formally; declare someone to be something; of titles.,We can 'proclaim' when we declare formally; declare someone to be something; of titles.,"Yesterday, I had to ___ when I declare formally; declare someone to be something; of titles. Choices: [proclaim, play, jump].",
13,prod,v,to push against gently,"nudge, poke at, prod","poke at, urge, encourage, bang, signal, thrust",Think of 'prod' as 'pro' to help remember it means to push against gently.,We can 'prod' when we to push against gently.,"Yesterday, I had to ___ when I to push against gently. Choices: [prod, play, jump].",
13,profound,adj,showing intellectual penetration or emotional depth,profound,"intellectual, bottomless, intense, difficult, immeasurable, intelligent",Think of 'profound' as 'pro' to help remember it means showing intellectual penetration or emotional depth.,My toy is very 'profound' because it is showing intellectual penetration or emotional depth.,"Yesterday, I had to ___ when I showing intellectual penetration or emotional depth. Choices: [profound, play, jump].",
13,prohibition,n,a law forbidding the sale of alcoholic beverages,prohibition,"ban, forbiddance, demand, refusal, expulsion, obstruction",Think of 'prohibition' as 'pro' to help remember it means a law forbidding the sale of alcoholic beverages.,The word 'prohibition' is a thing: it means a law forbidding the sale of alcoholic beverages.,"Yesterday, I had to ___ when I a law forbidding the sale of alcoholic beverages. Choices: [prohibition, play, jump].",
13,proliferation,n,growth by the rapid multiplication of parts,proliferation,"range, development, duplication, expansion, expanse",Think of 'proliferation' as 'pro' to help remember it means growth by the rapid multiplication of parts.,The word 'proliferation' is a thing: it means growth by the rapid multiplication of parts.,"Yesterday, I had to ___ when I growth by the rapid multiplication of parts. Choices: [proliferation, play, jump].",
13,prolong,v,lengthen in time; cause to be or last longer,"prolong, protract, extend, draw out","extend, persist, put off, stop, stretch, extend time of action",Think of 'prolong' as 'pro' to help remember it means lengthen in time; cause to be or last longer.,We can 'prolong' when we lengthen in time; cause to be or last longer.,"Yesterday, I had to ___ when I lengthen in time; cause to be or last longer. Choices: [prolong, play, jump].",
13,prospectus,n,a formal written offer to sell securities (filed with the SEC) that sets forth a plan for a (proposed) business enterprise,prospectus,"details, written or printed matter featuring a selection of objects, document, record, description, paper stating beliefs",Think of 'prospectus' as 'pro' to help remember it means a formal written offer to sell securities (filed with the SEC) that sets forth a plan for a (proposed) business enterprise.,The word 'prospectus' is a thing: it means a formal written offer to sell securities (filed with the SEC) that sets forth a plan for a (proposed) business enterprise.,"Yesterday, I had to ___ when I a formal written offer to sell securities (filed with the SEC) that sets forth a plan for a (proposed) business enterprise. Choices: [prospectus, play, jump].",
13,prosperity,n,an economic state of growth with rising profits and full employment,prosperity,"good fortune, plentitude, wealth, advantage, improvement, assets",Think of 'prosperity' as 'pro' to help remember it means an economic state of growth with rising profits and full employment.,The word 'prosperity' is a thing: it means an economic state of growth with rising profits and full employment.,"Yesterday, I had to ___ when I an economic state of growth with rising profits and full employment. Choices: [prosperity, play, jump].",
13,provisional,adj,under terms not final or fully worked out or agreed upon,"probationary, provisional, provisionary, tentative","contingent, substituting, for a specific purpose, incidental, approximate, dependent",Think of 'provisional' as 'pro' to help remember it means under terms not final or fully worked out or agreed upon.,My toy is very 'provisional' because it is under terms not final or fully worked out or agreed upon.,"Yesterday, I had to ___ when I under terms not final or fully worked out or agreed upon. Choices: [provisional, play, jump].",
13,provoke,v,"call forth (emotions, feelings, and responses)","arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke","anger, start, encourage, exasperate, make worse, insult","Think of 'provoke' as 'pro' to help remember it means call forth (emotions, feelings, and responses).","We can 'provoke' when we call forth (emotions, feelings, and responses).","Yesterday, I had to ___ when I call forth (emotions, feelings, and responses). Choices: [provoke, play, jump].",
13,proximity,n,the property of being close together,"proximity, propinquity","nearness, touching, place side by side, community, vicinity, area",Think of 'proximity' as 'pro' to help remember it means the property of being close together.,The word 'proximity' is a thing: it means the property of being close together.,"Yesterday, I had to ___ when I the property of being close together. Choices: [proximity, play, jump].",
13,psychic,,,,,Think of 'psychic' as 'psy' to help remember it means nan.,I will use the word 'psychic' in a sentence: It is nan.,"Yesterday, I had to ___ when I nan. Choices: [psychic, play, jump].",
13,publicity,n,a message issued in behalf of some product or cause or idea or person or institution,"promotion, publicity, promotional material, packaging","promotion, notice, notice, accumulation, information, exchange",Think of 'publicity' as 'pub' to help remember it means a message issued in behalf of some product or cause or idea or person or institution.,The word 'publicity' is a thing: it means a message issued in behalf of some product or cause or idea or person or institution.,"Yesterday, I had to ___ when I a message issued in behalf of some product or cause or idea or person or institution. Choices: [publicity, play, jump].",
13,purify,v,"remove impurities from, increase the concentration of, and separate through the process of distillation","purify, sublimate, make pure, distill","clean, freshen, initiate, forbid, unclutter, wash","Think of 'purify' as 'pur' to help remember it means remove impurities from, increase the concentration of, and separate through the process of distillation.","We can 'purify' when we remove impurities from, increase the concentration of, and separate through the process of distillation.","Yesterday, I had to ___ when I remove impurities from, increase the concentration of, and separate through the process of distillation. Choices: [purify, play, jump].",
13,qualitative,adj,involving distinctions based on qualities,qualitative,,Think of 'qualitative' as 'qua' to help remember it means involving distinctions based on qualities.,My toy is very 'qualitative' because it is involving distinctions based on qualities.,"Yesterday, I had to ___ when I involving distinctions based on qualities. Choices: [qualitative, play, jump].",
13,rationale,n,(law) an explanation of the fundamental reasons (especially an explanation of the working of some device in terms of laws of nature),"rationale, principle","logic, basis, description, basis, theory, inducement",Think of 'rationale' as 'rat' to help remember it means (law) an explanation of the fundamental reasons (especially an explanation of the working of some device in terms of laws of nature).,The word 'rationale' is a thing: it means (law) an explanation of the fundamental reasons (especially an explanation of the working of some device in terms of laws of nature).,"Yesterday, I had to ___ when I (law) an explanation of the fundamental reasons (especially an explanation of the working of some device in terms of laws of nature). Choices: [rationale, play, jump].",
13,rave,v,participate in an all-night techno dance party,rave,"talk, enthuse, approval, approve, madden, clap",Think of 'rave' as 'rav' to help remember it means participate in an all-night techno dance party.,We can 'rave' when we participate in an all-night techno dance party.,"Yesterday, I had to ___ when I participate in an all-night techno dance party. Choices: [rave, play, jump].",
13,realization,n,coming to understand something clearly and distinctly,"realization, realisation, recognition","triumph, accomplishment, recognition, readiness, recognition, achievement",Think of 'realization' as 'rea' to help remember it means coming to understand something clearly and distinctly.,The word 'realization' is a thing: it means coming to understand something clearly and distinctly.,"Yesterday, I had to ___ when I coming to understand something clearly and distinctly. Choices: [realization, play, jump].",
13,reciprocal,adj,concerning each of two or more persons or things; especially given or done in return,"reciprocal, mutual","exchanged, two-sided, known, companion, unified, equivalent",Think of 'reciprocal' as 'rec' to help remember it means concerning each of two or more persons or things; especially given or done in return.,My toy is very 'reciprocal' because it is concerning each of two or more persons or things; especially given or done in return.,"Yesterday, I had to ___ when I concerning each of two or more persons or things; especially given or done in return. Choices: [reciprocal, play, jump].",
13,recur,v,happen or occur again,"recur, repeat","happen again, emerge, return, occur, spirit, carry through",Think of 'recur' as 'rec' to help remember it means happen or occur again.,We can 'recur' when we happen or occur again.,"Yesterday, I had to ___ when I happen or occur again. Choices: [recur, play, jump].",
13,redundant,adj,"more than is needed, desired, or required","excess, extra, redundant, spare, supererogatory, superfluous, supernumerary, surplus","excessive, wordy, too much, accessory, unneeded, dismiss","Think of 'redundant' as 'red' to help remember it means more than is needed, desired, or required.","My toy is very 'redundant' because it is more than is needed, desired, or required.","Yesterday, I had to ___ when I more than is needed, desired, or required. Choices: [redundant, play, jump].",
13,reflective,adj,deeply or seriously thoughtful,"brooding, broody, contemplative, meditative, musing, pensive, pondering, reflective, ruminative","thoughtful, intentional, thoughtful, simulated, contemplative, meditative",Think of 'reflective' as 'ref' to help remember it means deeply or seriously thoughtful.,My toy is very 'reflective' because it is deeply or seriously thoughtful.,"Yesterday, I had to ___ when I deeply or seriously thoughtful. Choices: [reflective, play, jump].",
13,refuge,n,a safe place,"safety, refuge","hideaway, refuge, hiding place, exile, resource, seclusion",Think of 'refuge' as 'ref' to help remember it means a safe place.,The word 'refuge' is a thing: it means a safe place.,"Yesterday, I had to ___ when I a safe place. Choices: [refuge, play, jump].",
13,regret,v,feel remorse for; feel sorry for; be contrite about,"repent, regret, rue","doubt, doubt, complain, cry, weep, regret",Think of 'regret' as 'reg' to help remember it means feel remorse for; feel sorry for; be contrite about.,We can 'regret' when we feel remorse for; feel sorry for; be contrite about.,"Yesterday, I had to ___ when I feel remorse for; feel sorry for; be contrite about. Choices: [regret, play, jump].",
13,rejection,n,the act of rejecting something,rejection,"refusal, refusal to publish, denial, hindrance, abandonment, refusal",Think of 'rejection' as 'rej' to help remember it means the act of rejecting something.,The word 'rejection' is a thing: it means the act of rejecting something.,"Yesterday, I had to ___ when I the act of rejecting something. Choices: [rejection, play, jump].",
13,reliance,n,certainty based on past experience,"reliance, trust","confidence, confidence, faith, nerve, hope, belief",Think of 'reliance' as 'rel' to help remember it means certainty based on past experience.,The word 'reliance' is a thing: it means certainty based on past experience.,"Yesterday, I had to ___ when I certainty based on past experience. Choices: [reliance, play, jump].",
13,relieve,v,"provide physical relief, as from pain","relieve, alleviate, palliate, assuage","improve, help, unburden, release, free, help","Think of 'relieve' as 'rel' to help remember it means provide physical relief, as from pain.","We can 'relieve' when we provide physical relief, as from pain.","Yesterday, I had to ___ when I provide physical relief, as from pain. Choices: [relieve, play, jump].",
13,reluctant,adj,unwillingness to do something contrary to your custom,"loath, loth, reluctant","unenthusiastic, unfavorable, reluctant, regretting, opposing, bashful",Think of 'reluctant' as 'rel' to help remember it means unwillingness to do something contrary to your custom.,My toy is very 'reluctant' because it is unwillingness to do something contrary to your custom.,"Yesterday, I had to ___ when I unwillingness to do something contrary to your custom. Choices: [reluctant, play, jump].",
13,renovate,v,restore to a previous or better condition,"renovate, restitute","fix up, alter, change, improve, differ, beautify",Think of 'renovate' as 'ren' to help remember it means restore to a previous or better condition.,We can 'renovate' when we restore to a previous or better condition.,"Yesterday, I had to ___ when I restore to a previous or better condition. Choices: [renovate, play, jump].",
13,renovation,n,the act of improving by renewing and restoring,"renovation, redevelopment, overhaul",,Think of 'renovation' as 'ren' to help remember it means the act of improving by renewing and restoring.,The word 'renovation' is a thing: it means the act of improving by renewing and restoring.,"Yesterday, I had to ___ when I the act of improving by renewing and restoring. Choices: [renovation, play, jump].",
13,renown,n,the state or quality of being widely honored and acclaimed,"fame, celebrity, renown","fame, fame, importance, reputation, excellence, achievement",Think of 'renown' as 'ren' to help remember it means the state or quality of being widely honored and acclaimed.,The word 'renown' is a thing: it means the state or quality of being widely honored and acclaimed.,"Yesterday, I had to ___ when I the state or quality of being widely honored and acclaimed. Choices: [renown, play, jump].",
13,repeal,v,cancel officially,"revoke, annul, lift, countermand, reverse, repeal, overturn, rescind, vacate","cancellation, declare void, eliminate, elimination, complete change, abolish",Think of 'repeal' as 'rep' to help remember it means cancel officially.,We can 'repeal' when we cancel officially.,"Yesterday, I had to ___ when I cancel officially. Choices: [repeal, play, jump].",
13,replicate,v,bend or turn backward,"retroflex, replicate","copy exactly, duplicate, make two, copy, crease, pretend",Think of 'replicate' as 'rep' to help remember it means bend or turn backward.,We can 'replicate' when we bend or turn backward.,"Yesterday, I had to ___ when I bend or turn backward. Choices: [replicate, play, jump].",
13,replication,n,the act of making copies,"reproduction, replication","duplicate, copy, reproduction, duplication, duplicate, duplication",Think of 'replication' as 'rep' to help remember it means the act of making copies.,The word 'replication' is a thing: it means the act of making copies.,"Yesterday, I had to ___ when I the act of making copies. Choices: [replication, play, jump].",
13,resemble,v,appear like; be similar or bear a likeness to,resemble,"be like, seem, near, estimate, approximate, match",Think of 'resemble' as 'res' to help remember it means appear like; be similar or bear a likeness to.,We can 'resemble' when we appear like; be similar or bear a likeness to.,"Yesterday, I had to ___ when I appear like; be similar or bear a likeness to. Choices: [resemble, play, jump].",
13,resign,v,"leave (a job, post, or position) voluntarily","vacate, resign, renounce, give up","give up, give up, withdraw, withdraw, surrender, assign","Think of 'resign' as 'res' to help remember it means leave (a job, post, or position) voluntarily.","We can 'resign' when we leave (a job, post, or position) voluntarily.","Yesterday, I had to ___ when I leave (a job, post, or position) voluntarily. Choices: [resign, play, jump].",
13,restraint,n,the act of controlling by restraining someone or something,restraint,"self-control, limitation, refraining, temperance, at one's pleasure, at one's pleasure",Think of 'restraint' as 'res' to help remember it means the act of controlling by restraining someone or something.,The word 'restraint' is a thing: it means the act of controlling by restraining someone or something.,"Yesterday, I had to ___ when I the act of controlling by restraining someone or something. Choices: [restraint, play, jump].",
13,revert,v,go back to a previous state,"revert, return, retrovert, regress, turn back","about-face, go astray, lessen, decay, return, break",Think of 'revert' as 'rev' to help remember it means go back to a previous state.,We can 'revert' when we go back to a previous state.,"Yesterday, I had to ___ when I go back to a previous state. Choices: [revert, play, jump].",
13,revisit,v,visit again,revisit,"visit often, return, go back, go over",Think of 'revisit' as 'rev' to help remember it means visit again.,We can 'revisit' when we visit again.,"Yesterday, I had to ___ when I visit again. Choices: [revisit, play, jump].",
13,revival,n,bringing again into activity and prominence,"revival, resurgence, revitalization, revitalisation, revivification","rebirth, rousing, recovery, beautification; cosmetic surgery, place where movies are shown, improvement",Think of 'revival' as 'rev' to help remember it means bringing again into activity and prominence.,The word 'revival' is a thing: it means bringing again into activity and prominence.,"Yesterday, I had to ___ when I bringing again into activity and prominence. Choices: [revival, play, jump].",
13,revoke,v,fail to follow suit when able and required to do so,revoke,"take back, eliminate, abolish, void, call off, counterbalance",Think of 'revoke' as 'rev' to help remember it means fail to follow suit when able and required to do so.,We can 'revoke' when we fail to follow suit when able and required to do so.,"Yesterday, I had to ___ when I fail to follow suit when able and required to do so. Choices: [revoke, play, jump].",
13,rig,n,gear (including necessary machinery) for a particular enterprise,rig,"equipment, outfit, arrange outcome, clothing, furnish, equip",Think of 'rig' as 'rig' to help remember it means gear (including necessary machinery) for a particular enterprise.,The word 'rig' is a thing: it means gear (including necessary machinery) for a particular enterprise.,"Yesterday, I had to ___ when I gear (including necessary machinery) for a particular enterprise. Choices: [rig, play, jump].",
13,rigid,adj,incapable of or resistant to bending,"rigid, stiff","stiff, unresponsive, precise, unyielding, severe, domineering",Think of 'rigid' as 'rig' to help remember it means incapable of or resistant to bending.,My toy is very 'rigid' because it is incapable of or resistant to bending.,"Yesterday, I had to ___ when I incapable of or resistant to bending. Choices: [rigid, play, jump].",
13,rigorous,adj,rigidly accurate; allowing no deviation from a standard,"rigorous, strict","exact, precise, difficult, severe, painful, cautious",Think of 'rigorous' as 'rig' to help remember it means rigidly accurate; allowing no deviation from a standard.,My toy is very 'rigorous' because it is rigidly accurate; allowing no deviation from a standard.,"Yesterday, I had to ___ when I rigidly accurate; allowing no deviation from a standard. Choices: [rigorous, play, jump].",
13,riot,n,a public act of violence by an unruly mob,"riot, public violence","uprising, fun, protest, run wild, funny, lawlessness",Think of 'riot' as 'rio' to help remember it means a public act of violence by an unruly mob.,The word 'riot' is a thing: it means a public act of violence by an unruly mob.,"Yesterday, I had to ___ when I a public act of violence by an unruly mob. Choices: [riot, play, jump].",
13,rite,n,an established ceremony prescribed by a religion,"rite, religious rite","ceremony, ritual performed for change of status, trying experience, celebration, ceremony, ritual",Think of 'rite' as 'rit' to help remember it means an established ceremony prescribed by a religion.,The word 'rite' is a thing: it means an established ceremony prescribed by a religion.,"Yesterday, I had to ___ when I an established ceremony prescribed by a religion. Choices: [rite, play, jump].",
13,roam,v,"move about aimlessly or without any destination, often in search of food or employment","roll, wander, swan, stray, tramp, roam, cast, ramble, rove, range, drift, vagabond","wander, deviate, gad about, associate with; be residing in, associate, associate with; be residing in","Think of 'roam' as 'roa' to help remember it means move about aimlessly or without any destination, often in search of food or employment.","We can 'roam' when we move about aimlessly or without any destination, often in search of food or employment.","Yesterday, I had to ___ when I move about aimlessly or without any destination, often in search of food or employment. Choices: [roam, play, jump].",
13,rogue,n,a deceitful and unreliable scoundrel,"rogue, knave, rascal, rapscallion, scalawag, scallywag, varlet","deceiver, risker, lout, fooler, criminal, evil",Think of 'rogue' as 'rog' to help remember it means a deceitful and unreliable scoundrel.,The word 'rogue' is a thing: it means a deceitful and unreliable scoundrel.,"Yesterday, I had to ___ when I a deceitful and unreliable scoundrel. Choices: [rogue, play, jump].",
13,rout,,,,,Think of 'rout' as 'rou' to help remember it means nan.,I will use the word 'rout' in a sentence: It is nan.,"Yesterday, I had to ___ when I nan. Choices: [rout, play, jump].",
13,rude,adj,socially incorrect in behavior,"ill-mannered, bad-mannered, rude, unmannered, unmannerly","disrespectful, primitive, approximate, vulgar, unrefined, mean",Think of 'rude' as 'rud' to help remember it means socially incorrect in behavior.,My toy is very 'rude' because it is socially incorrect in behavior.,"Yesterday, I had to ___ when I socially incorrect in behavior. Choices: [rude, play, jump].",
13,rue,v,feel remorse for; feel sorry for; be contrite about,"repent, regret, rue","regret, pain, complain, cry, regret, regret",Think of 'rue' as 'rue' to help remember it means feel remorse for; feel sorry for; be contrite about.,We can 'rue' when we feel remorse for; feel sorry for; be contrite about.,"Yesterday, I had to ___ when I feel remorse for; feel sorry for; be contrite about. Choices: [rue, play, jump].",
13,rueful,,Synonyms:,"More Synonyms: regretful, remorseful, depressing, miserable, blameworthy, injured","regretful, remorseful, depressing, miserable, blameworthy, injured",Think of 'rueful' as 'rue' to help remember it means Synonyms:.,I will use the word 'rueful' in a sentence: It is Synonyms:.,"Yesterday, I had to ___ when I Synonyms:. Choices: [rueful, play, jump].",
13,safeguard,v,make safe,safeguard,"protection, protect, security, fortification, accompany, care",Think of 'safeguard' as 'saf' to help remember it means make safe.,We can 'safeguard' when we make safe.,"Yesterday, I had to ___ when I make safe. Choices: [safeguard, play, jump].",
13,saga,n,a narrative telling the adventures of a hero or a family; originally (12th to 14th centuries) a story of the families that settled Iceland and their descendants but now any prose narrative that resembles such an account,saga,"story, life, long story, chronicle, story, myths",Think of 'saga' as 'sag' to help remember it means a narrative telling the adventures of a hero or a family; originally (12th to 14th centuries) a story of the families that settled Iceland and their descendants but now any prose narrative that resembles such an account.,The word 'saga' is a thing: it means a narrative telling the adventures of a hero or a family; originally (12th to 14th centuries) a story of the families that settled Iceland and their descendants but now any prose narrative that resembles such an account.,"Yesterday, I had to ___ when I a narrative telling the adventures of a hero or a family; originally (12th to 14th centuries) a story of the families that settled Iceland and their descendants but now any prose narrative that resembles such an account. Choices: [saga, play, jump].",
13,salvation,n,(theology) the act of delivering from sin or saving from evil,"redemption, salvation","saving, help, preservation, supervision, liberation, freeing",Think of 'salvation' as 'sal' to help remember it means (theology) the act of delivering from sin or saving from evil.,The word 'salvation' is a thing: it means (theology) the act of delivering from sin or saving from evil.,"Yesterday, I had to ___ when I (theology) the act of delivering from sin or saving from evil. Choices: [salvation, play, jump].",
13,sanctuary,n,a consecrated place where sacred objects are kept,sanctuary,"church, retreat, wildlife home, residence, refuge, church",Think of 'sanctuary' as 'san' to help remember it means a consecrated place where sacred objects are kept.,The word 'sanctuary' is a thing: it means a consecrated place where sacred objects are kept.,"Yesterday, I had to ___ when I a consecrated place where sacred objects are kept. Choices: [sanctuary, play, jump].",
13,savage,adj,(of persons or their actions) able or disposed to inflict pain or suffering,"barbarous, brutal, cruel, fell, roughshod, savage, vicious","wild, cruel, painful, murderous, hard-fought, cruel",Think of 'savage' as 'sav' to help remember it means (of persons or their actions) able or disposed to inflict pain or suffering.,My toy is very 'savage' because it is (of persons or their actions) able or disposed to inflict pain or suffering.,"Yesterday, I had to ___ when I (of persons or their actions) able or disposed to inflict pain or suffering. Choices: [savage, play, jump].",
13,scarce,adv,only a very short time before,"barely, hardly, just, scarcely, scarce",,Think of 'scarce' as 'sca' to help remember it means only a very short time before.,He runs 'scarce' which means he runs only a very short time before.,"Yesterday, I had to ___ when I only a very short time before. Choices: [scarce, play, jump].",
13,scrutiny,n,the act of examining something closely (as for mistakes),"examination, scrutiny","examination, examination, concentration, inspection, inspection, analysis",Think of 'scrutiny' as 'scr' to help remember it means the act of examining something closely (as for mistakes).,The word 'scrutiny' is a thing: it means the act of examining something closely (as for mistakes).,"Yesterday, I had to ___ when I the act of examining something closely (as for mistakes). Choices: [scrutiny, play, jump].",
13,sear,v,make very hot and dry,"sear, scorch","burn, grill, corrode, cook, fire, scorch",Think of 'sear' as 'sea' to help remember it means make very hot and dry.,We can 'sear' when we make very hot and dry.,"Yesterday, I had to ___ when I make very hot and dry. Choices: [sear, play, jump].",
13,secular,n,someone who is not a clergyman or a professional person,"layman, layperson, secular","material, of the land, bodily, amateur, amateur, amateur person, not trained in religious or other profession",Think of 'secular' as 'sec' to help remember it means someone who is not a clergyman or a professional person.,The word 'secular' is a thing: it means someone who is not a clergyman or a professional person.,"Yesterday, I had to ___ when I someone who is not a clergyman or a professional person. Choices: [secular, play, jump].",
13,seize,v,take hold of; grab,"seize, prehend, clutch","grab, abduct, take advantage of opportunity, kidnap, take on, arrest",Think of 'seize' as 'sei' to help remember it means take hold of; grab.,We can 'seize' when we take hold of; grab.,"Yesterday, I had to ___ when I take hold of; grab. Choices: [seize, play, jump].",
13,self-deprecation,,Synonyms:,More Synonyms:,,Think of 'self-deprecation' as 'sel' to help remember it means Synonyms:.,I will use the word 'self-deprecation' in a sentence: It is Synonyms:.,"Yesterday, I had to ___ when I Synonyms:. Choices: [self-deprecation, play, jump].",
13,sensation,n,an unelaborated elementary awareness of stimulation,"sensation, esthesis, aesthesis, sense experience, sense impression, sense datum","feeling, wonder, very gifted young person, mental state, texture, have a gut feeling",Think of 'sensation' as 'sen' to help remember it means an unelaborated elementary awareness of stimulation.,The word 'sensation' is a thing: it means an unelaborated elementary awareness of stimulation.,"Yesterday, I had to ___ when I an unelaborated elementary awareness of stimulation. Choices: [sensation, play, jump].",
13,sensible,adj,showing reason or sound judgment,"reasonable, sensible","realistic, visible horizon, recommended, considerable, knowledgeable, ingenious",Think of 'sensible' as 'sen' to help remember it means showing reason or sound judgment.,My toy is very 'sensible' because it is showing reason or sound judgment.,"Yesterday, I had to ___ when I showing reason or sound judgment. Choices: [sensible, play, jump].",
13,sensory,adj,of a nerve fiber or impulse originating outside and passing toward the central nervous system,"centripetal, receptive, sensory","affecting, cell of the nervous system, central nervous system, clairvoyance, impressionable, gratifying",Think of 'sensory' as 'sen' to help remember it means of a nerve fiber or impulse originating outside and passing toward the central nervous system.,My toy is very 'sensory' because it is of a nerve fiber or impulse originating outside and passing toward the central nervous system.,"Yesterday, I had to ___ when I of a nerve fiber or impulse originating outside and passing toward the central nervous system. Choices: [sensory, play, jump].",
13,sentinel,n,a person employed to keep watch for some anticipated event,,,Think of 'sentinel' as 'sen' to help remember it means a person employed to keep watch for some anticipated event.,The word 'sentinel' is a thing: it means a person employed to keep watch for some anticipated event.,"Yesterday, I had to ___ when I a person employed to keep watch for some anticipated event. Choices: [sentinel, play, jump].",
13,sequel,n,something that follows something else,"sequel, subsequence","follow-up, result, addition, conclusion, progress, phase",Think of 'sequel' as 'seq' to help remember it means something that follows something else.,The word 'sequel' is a thing: it means something that follows something else.,"Yesterday, I had to ___ when I something that follows something else. Choices: [sequel, play, jump].",
13,severity,n,used of the degree of something undesirable e.g. pain or weather,"badness, severity, severeness","grimness, simplicity, viciousness, measure, anger, seriousness",Think of 'severity' as 'sev' to help remember it means used of the degree of something undesirable e.g. pain or weather.,The word 'severity' is a thing: it means used of the degree of something undesirable e.g. pain or weather.,"Yesterday, I had to ___ when I used of the degree of something undesirable e.g. pain or weather. Choices: [severity, play, jump].",
13,shortage,n,the property of being an amount by which something is less than expected or required,"deficit, shortage, shortfall","deficiency, insufficiency, imperfection, inadequacy, deficiency, poverty",Think of 'shortage' as 'sho' to help remember it means the property of being an amount by which something is less than expected or required.,The word 'shortage' is a thing: it means the property of being an amount by which something is less than expected or required.,"Yesterday, I had to ___ when I the property of being an amount by which something is less than expected or required. Choices: [shortage, play, jump].",
13,shy,v,"start suddenly, as from fright",shy,"quiet, lacking, ill at ease, regretting, stay away, withdraw","Think of 'shy' as 'shy' to help remember it means start suddenly, as from fright.","We can 'shy' when we start suddenly, as from fright.","Yesterday, I had to ___ when I start suddenly, as from fright. Choices: [shy, play, jump].",
13,sibling,n,a person’s brother or sister,"sibling, sib","relative, closest relative, child, connection, family",Think of 'sibling' as 'sib' to help remember it means a person’s brother or sister.,The word 'sibling' is a thing: it means a person’s brother or sister.,"Yesterday, I had to ___ when I a person’s brother or sister. Choices: [sibling, play, jump].",
13,signify,v,denote or connote,"mean, intend, signify, stand for","mean, be important, belittle, predict, predict, inform",Think of 'signify' as 'sig' to help remember it means denote or connote.,We can 'signify' when we denote or connote.,"Yesterday, I had to ___ when I denote or connote. Choices: [signify, play, jump].",
