level,word,part_of_speech,definition,synonyms,more_synonyms,mnemonic,context_sentence,story_builder
11,constraint,n,the state of being physically constrained,"constraint, restraint","force, shyness, confinement, capture, stop, detention",🔑 Remember: 'constraint' sounds like 'con' and means the state of being physically constrained.,"The word 'constraint' is a thing, it means the state of being physically constrained.","In the middle of the forest, animals love to ___ because they the state of being physically constrained. Choices: [constraint, hide, sing]"
11,construct,v,make by combining materials and parts,"construct, build, make","build, plan, put together, build on, make up, comprise",🔑 Remember: 'construct' sounds like 'con' and means make by combining materials and parts.,Every day we can 'construct' when we make by combining materials and parts.,"Tom found a magic box that could ___ when he make by combining materials and parts. Choices: [construct, dance, eat]"
11,consultation,n,a conference (usually with someone important),"consultation, audience, interview","conference, recommendation, meeting, hearing, convention, dialogue",🔑 Remember: 'consultation' sounds like 'con' and means a conference (usually with someone important).,"The word 'consultation' is a thing, it means a conference (usually with someone important).","During the big game, the team had to ___ if they wanted to a conference (usually with someone important). Choices: [consultation, run, jump]"
11,consumption,n,the process of taking food into the body through the mouth (as by eating),"consumption, ingestion, intake, uptake","use, taking in, shortening, collapse, deterioration, tiredness",🔑 Remember: 'consumption' sounds like 'con' and means the process of taking food into the body through the mouth (as by eating).,"The word 'consumption' is a thing, it means the process of taking food into the body through the mouth (as by eating).","On a rainy day, Mia decided to ___ while she the process of taking food into the body through the mouth (as by eating). Choices: [consumption, sleep, laugh]"
11,contrast,n,the opposition or dissimilarity of things that are compared,"contrast, direct contrast","difference, differ, opposite to, opposite, differ, sort",🔑 Remember: 'contrast' sounds like 'con' and means the opposition or dissimilarity of things that are compared.,"The word 'contrast' is a thing, it means the opposition or dissimilarity of things that are compared.","Sara’s teacher asked the class to ___ to show they could the opposition or dissimilarity of things that are compared. Choices: [contrast, draw, play]"
11,convenient,adj,suited to your comfort or purpose or needs,convenient,"useful, nearby, accessible, suitable, ready, near",🔑 Remember: 'convenient' sounds like 'con' and means suited to your comfort or purpose or needs.,My dog is 'convenient' because it is suited to your comfort or purpose or needs.,"During the big game, the team had to ___ if they wanted to suited to your comfort or purpose or needs. Choices: [convenient, run, jump]"
11,convince,v,"make (someone) agree, understand, or realize the truth or validity of something","convert, win over, convince","persuade, convert, cause, dislodge, change belief, persuade","🔑 Remember: 'convince' sounds like 'con' and means make (someone) agree, understand, or realize the truth or validity of something.","Every day we can 'convince' when we make (someone) agree, understand, or realize the truth or validity of something.","During the big game, the team had to ___ if they wanted to make (someone) agree, understand, or realize the truth or validity of something. Choices: [convince, run, jump]"
11,convince,,Synonyms:,"More Synonyms: persuade, convert, cause, dislodge, change belief, persuade","persuade, convert, cause, dislodge, change belief, persuade",🔑 Remember: 'convince' sounds like 'con' and means Synonyms:.,'convince' means Synonyms:.,"Sara’s teacher asked the class to ___ to show they could Synonyms:. Choices: [convince, draw, play]"
11,cooperative,adj,involving the joint activity of two or more,"concerted, conjunct, conjunctive, cooperative",,🔑 Remember: 'cooperative' sounds like 'coo' and means involving the joint activity of two or more.,My dog is 'cooperative' because it is involving the joint activity of two or more.,"Sara’s teacher asked the class to ___ to show they could involving the joint activity of two or more. Choices: [cooperative, draw, play]"
11,coordinate,v,bring order and organization to,"organize, organise, coordinate","equivalent, relate, position on globe, conform, coordinate, arrange",🔑 Remember: 'coordinate' sounds like 'coo' and means bring order and organization to.,Every day we can 'coordinate' when we bring order and organization to.,"Tom found a magic box that could ___ when he bring order and organization to. Choices: [coordinate, dance, eat]"
11,cosmetic,n,a toiletry designed to beautify the body,cosmetic,"beautifying, plastic surgery, lotion, something that freshens, small amount, solution",🔑 Remember: 'cosmetic' sounds like 'cos' and means a toiletry designed to beautify the body.,"The word 'cosmetic' is a thing, it means a toiletry designed to beautify the body.","Tom found a magic box that could ___ when he a toiletry designed to beautify the body. Choices: [cosmetic, dance, eat]"
11,crisis,n,an unstable situation of extreme danger or difficulty,crisis,"danger, midlife depression, feeling of anxiety, circumstance, end of menstrual cycle, situation",🔑 Remember: 'crisis' sounds like 'cri' and means an unstable situation of extreme danger or difficulty.,"The word 'crisis' is a thing, it means an unstable situation of extreme danger or difficulty.","During the big game, the team had to ___ if they wanted to an unstable situation of extreme danger or difficulty. Choices: [crisis, run, jump]"
11,critic,n,a person who is professionally engaged in the analysis and interpretation of works of art,critic,"analyst, faultfinder, fault-finding, critical, reporter, authority",🔑 Remember: 'critic' sounds like 'cri' and means a person who is professionally engaged in the analysis and interpretation of works of art.,"The word 'critic' is a thing, it means a person who is professionally engaged in the analysis and interpretation of works of art.","Tom found a magic box that could ___ when he a person who is professionally engaged in the analysis and interpretation of works of art. Choices: [critic, dance, eat]"
11,cure,v,"provide a cure for, make healthy again","bring around, cure, heal","solution, heal, age food, panacea, counteraction, comfort","🔑 Remember: 'cure' sounds like 'cur' and means provide a cure for, make healthy again.","Every day we can 'cure' when we provide a cure for, make healthy again.","Sara’s teacher asked the class to ___ to show they could provide a cure for, make healthy again. Choices: [cure, draw, play]"
11,dangerous,adj,involving or causing danger or risk; liable to hurt or harm,"dangerous, unsafe","hazardous, important, risk-taking, difficult, harmful, contagious",🔑 Remember: 'dangerous' sounds like 'dan' and means involving or causing danger or risk; liable to hurt or harm.,My dog is 'dangerous' because it is involving or causing danger or risk; liable to hurt or harm.,"During the big game, the team had to ___ if they wanted to involving or causing danger or risk; liable to hurt or harm. Choices: [dangerous, run, jump]"
11,decade,n,a period of 10 years,"decade, decennary, decennium","duration, the 1920s era",🔑 Remember: 'decade' sounds like 'dec' and means a period of 10 years.,"The word 'decade' is a thing, it means a period of 10 years.","Sara’s teacher asked the class to ___ to show they could a period of 10 years. Choices: [decade, draw, play]"
11,declaration,n,a statement that is emphatic and explicit (spoken or written),declaration,"assertion, proclamation, recognition, confession, notice, declaration",🔑 Remember: 'declaration' sounds like 'dec' and means a statement that is emphatic and explicit (spoken or written).,"The word 'declaration' is a thing, it means a statement that is emphatic and explicit (spoken or written).","Tom found a magic box that could ___ when he a statement that is emphatic and explicit (spoken or written). Choices: [declaration, dance, eat]"
11,decline,v,grow worse,"worsen, decline",,🔑 Remember: 'decline' sounds like 'dec' and means grow worse.,Every day we can 'decline' when we grow worse.,"Sara’s teacher asked the class to ___ to show they could grow worse. Choices: [decline, draw, play]"
11,defend,v,argue or speak in defense of,"defend, support, fend for","protect, support, certify, support, reply, appeal",🔑 Remember: 'defend' sounds like 'def' and means argue or speak in defense of.,Every day we can 'defend' when we argue or speak in defense of.,"On a snowy day, Mia decided to ___ while she argue or speak in defense of. Choices: [defend, sleep, laugh]"
11,definite,adj,precise; explicit and clearly defined,definite,"exact, fixed, certain, precise, correct, real",🔑 Remember: 'definite' sounds like 'def' and means precise; explicit and clearly defined.,My dog is 'definite' because it is precise; explicit and clearly defined.,"On a sunny day, Mia decided to ___ while she precise; explicit and clearly defined. Choices: [definite, sleep, laugh]"
11,density,n,the amount per unit size,"density, denseness","bulk, frequency distribution, thickness, study of human population, stiffness, repetitiveness",🔑 Remember: 'density' sounds like 'den' and means the amount per unit size.,"The word 'density' is a thing, it means the amount per unit size.","In the middle of the forest, animals love to ___ because they the amount per unit size. Choices: [density, hide, sing]"
11,deny,v,declare untrue; contradict,deny,"disagree, hold back, reply, prohibit, disprove, ignore",🔑 Remember: 'deny' sounds like 'den' and means declare untrue; contradict.,Every day we can 'deny' when we declare untrue; contradict.,"During the big game, the team had to ___ if they wanted to declare untrue; contradict. Choices: [deny, run, jump]"
11,departure,n,the act of departing,"departure, going, going away, leaving","leaving, deviation, difference, deviation, comment, eluding",🔑 Remember: 'departure' sounds like 'dep' and means the act of departing.,"The word 'departure' is a thing, it means the act of departing.","On a snowy day, Mia decided to ___ while she the act of departing. Choices: [departure, sleep, laugh]"
11,dependent,adj,"relying on or requiring a person or thing for support, supply, or what is needed",dependent,"helpless, contingent, unhealthy psychological reliance of one person on another, dependent, word that modifies a noun, bum","🔑 Remember: 'dependent' sounds like 'dep' and means relying on or requiring a person or thing for support, supply, or what is needed.","My dog is 'dependent' because it is relying on or requiring a person or thing for support, supply, or what is needed.","On a sunny day, Mia decided to ___ while she relying on or requiring a person or thing for support, supply, or what is needed. Choices: [dependent, sleep, laugh]"
11,derive,v,reason by deduction; establish by deduction,"deduce, infer, deduct, derive","deduce, come from, happen, build on, glory, happen",🔑 Remember: 'derive' sounds like 'der' and means reason by deduction; establish by deduction.,Every day we can 'derive' when we reason by deduction; establish by deduction.,"Sara’s teacher asked the class to ___ to show they could reason by deduction; establish by deduction. Choices: [derive, draw, play]"
11,derive,v,obtain,"derive, gain","deduce, come from, happen, build on, glory, happen",🔑 Remember: 'derive' sounds like 'der' and means obtain.,Every day we can 'derive' when we obtain.,"Sara’s teacher asked the class to ___ to show they could obtain. Choices: [derive, draw, play]"
11,desert,v,leave someone who needs or counts on you; leave in the lurch,"abandon, forsake, desolate, desert","barren, wasteland, abandon, virtue triumphing over vice, desert, dry",🔑 Remember: 'desert' sounds like 'des' and means leave someone who needs or counts on you; leave in the lurch.,Every day we can 'desert' when we leave someone who needs or counts on you; leave in the lurch.,"During the big game, the team had to ___ if they wanted to leave someone who needs or counts on you; leave in the lurch. Choices: [desert, run, jump]"
11,deserve,v,be worthy or deserving,,,🔑 Remember: 'deserve' sounds like 'des' and means be worthy or deserving.,Every day we can 'deserve' when we be worthy or deserving.,"Tom found a magic box that could ___ when he be worthy or deserving. Choices: [deserve, dance, eat]"
11,destroy,v,"do away with, cause the destruction or undoing of","destroy, destruct","demolish, eliminate, strike, explode, detonate, cut meat","🔑 Remember: 'destroy' sounds like 'des' and means do away with, cause the destruction or undoing of.","Every day we can 'destroy' when we do away with, cause the destruction or undoing of.","Tom found a magic box that could ___ when he do away with, cause the destruction or undoing of. Choices: [destroy, dance, eat]"
11,detect,v,"discover or determine the existence, presence, or fact of","detect, observe, find, discover, notice","discover, discover, suggest, discover, recognize, find","🔑 Remember: 'detect' sounds like 'det' and means discover or determine the existence, presence, or fact of.","Every day we can 'detect' when we discover or determine the existence, presence, or fact of.","Sara’s teacher asked the class to ___ to show they could discover or determine the existence, presence, or fact of. Choices: [detect, draw, play]"
11,determination,n,"the act of determining the properties of something, usually by research or calculation","determination, finding","perseverance, conclusion, judgment, settlement, evaluation, giving","🔑 Remember: 'determination' sounds like 'det' and means the act of determining the properties of something, usually by research or calculation.","The word 'determination' is a thing, it means the act of determining the properties of something, usually by research or calculation.","On a snowy day, Mia decided to ___ while she the act of determining the properties of something, usually by research or calculation. Choices: [determination, sleep, laugh]"
11,diagnosis,n,identifying the nature or cause of some phenomenon,"diagnosis, diagnosing","identification, science, account, description, finding, differentiation",🔑 Remember: 'diagnosis' sounds like 'dia' and means identifying the nature or cause of some phenomenon.,"The word 'diagnosis' is a thing, it means identifying the nature or cause of some phenomenon.","During the big game, the team had to ___ if they wanted to identifying the nature or cause of some phenomenon. Choices: [diagnosis, run, jump]"
11,dialogue,n,a conversation between two persons,"dialogue, dialog, duologue","talk, conversation, conference, talk, overcompliment, questioning",🔑 Remember: 'dialogue' sounds like 'dia' and means a conversation between two persons.,"The word 'dialogue' is a thing, it means a conversation between two persons.","Sara’s teacher asked the class to ___ to show they could a conversation between two persons. Choices: [dialogue, draw, play]"
11,differ,v,be different,differ,"be distinct, clash, fight, differ, grumble, differ",🔑 Remember: 'differ' sounds like 'dif' and means be different.,Every day we can 'differ' when we be different.,"On a sunny day, Mia decided to ___ while she be different. Choices: [differ, sleep, laugh]"
11,difficulty,n,an effort that is inconvenient,"trouble, difficulty","problem, burden, argument, bad luck, hurt, annoyance",🔑 Remember: 'difficulty' sounds like 'dif' and means an effort that is inconvenient.,"The word 'difficulty' is a thing, it means an effort that is inconvenient.","On a rainy day, Mia decided to ___ while she an effort that is inconvenient. Choices: [difficulty, sleep, laugh]"
11,digest,v,convert food into absorbable substances,digest,"abridgement, take in, shorten, understand, endure, shorten",🔑 Remember: 'digest' sounds like 'dig' and means convert food into absorbable substances.,Every day we can 'digest' when we convert food into absorbable substances.,"Tom found a magic box that could ___ when he convert food into absorbable substances. Choices: [digest, dance, eat]"
11,discharge,n,the sudden giving off of energy,discharge,"freeing, dismissal, detonation, pouring, unloading, carrying out",🔑 Remember: 'discharge' sounds like 'dis' and means the sudden giving off of energy.,"The word 'discharge' is a thing, it means the sudden giving off of energy.","Sara’s teacher asked the class to ___ to show they could the sudden giving off of energy. Choices: [discharge, draw, play]"
11,discipline,v,develop (children’s) behavior by instruction and practice; especially to teach self-control,"discipline, train, check, condition","training, punishment, interest, abstinence, control, nurture",🔑 Remember: 'discipline' sounds like 'dis' and means develop (children’s) behavior by instruction and practice; especially to teach self-control.,Every day we can 'discipline' when we develop (children’s) behavior by instruction and practice; especially to teach self-control.,"During the big game, the team had to ___ if they wanted to develop (children’s) behavior by instruction and practice; especially to teach self-control. Choices: [discipline, run, jump]"
11,disclosure,n,the speech act of making something evident,"disclosure, revelation, revealing","revelation, confession, proclamation, reply, divulgence, information",🔑 Remember: 'disclosure' sounds like 'dis' and means the speech act of making something evident.,"The word 'disclosure' is a thing, it means the speech act of making something evident.","During the big game, the team had to ___ if they wanted to the speech act of making something evident. Choices: [disclosure, run, jump]"
11,dispatch,v,send away towards a designated goal,"dispatch, despatch, send off","speed, communication, send, finish, kill, case for carrying papers, documents and other valuables",🔑 Remember: 'dispatch' sounds like 'dis' and means send away towards a designated goal.,Every day we can 'dispatch' when we send away towards a designated goal.,"In the middle of the forest, animals love to ___ because they send away towards a designated goal. Choices: [dispatch, hide, sing]"
11,dispute,v,take exception to,"challenge, dispute, gainsay","argument, argue, disturb, fight, reply, fight",🔑 Remember: 'dispute' sounds like 'dis' and means take exception to.,Every day we can 'dispute' when we take exception to.,"Sara’s teacher asked the class to ___ to show they could take exception to. Choices: [dispute, draw, play]"
11,distinguish,v,mark as different,"distinguish, separate, differentiate, secern, secernate, severalize, severalise, tell, tell apart","judge, identify, make famous, glorify, look at, categorize",🔑 Remember: 'distinguish' sounds like 'dis' and means mark as different.,Every day we can 'distinguish' when we mark as different.,"Tom found a magic box that could ___ when he mark as different. Choices: [distinguish, dance, eat]"
11,diverse,adj,many and different,"divers, diverse","different, multifaceted, various, dissimilar, separate, various",🔑 Remember: 'diverse' sounds like 'div' and means many and different.,My dog is 'diverse' because it is many and different.,"Sara’s teacher asked the class to ___ to show they could many and different. Choices: [diverse, draw, play]"
11,diversity,n,noticeable heterogeneity,"diverseness, diversity, multifariousness, variety","variety, variety, alteration, difference, distinctness, difference",🔑 Remember: 'diversity' sounds like 'div' and means noticeable heterogeneity.,"The word 'diversity' is a thing, it means noticeable heterogeneity.","Tom found a magic box that could ___ when he noticeable heterogeneity. Choices: [diversity, dance, eat]"
11,drama,n,a dramatic work intended for performance by actors on a stage,"play, drama, dramatic play","theatrical piece; acting, turmoil in real life, entertainment, creation, enthusiasm, story",🔑 Remember: 'drama' sounds like 'dra' and means a dramatic work intended for performance by actors on a stage.,"The word 'drama' is a thing, it means a dramatic work intended for performance by actors on a stage.","Tom found a magic box that could ___ when he a dramatic work intended for performance by actors on a stage. Choices: [drama, dance, eat]"
11,dramatic,adj,suitable to or characteristic of drama,dramatic,"exciting, beautiful, theatrical piece; acting, articulation, wittiness, exhilarating",🔑 Remember: 'dramatic' sounds like 'dra' and means suitable to or characteristic of drama.,My dog is 'dramatic' because it is suitable to or characteristic of drama.,"Sara’s teacher asked the class to ___ to show they could suitable to or characteristic of drama. Choices: [dramatic, draw, play]"
11,duration,n,the period of time during which something continues,"duration, continuance","length, period, addition, progression, duration, time",🔑 Remember: 'duration' sounds like 'dur' and means the period of time during which something continues.,"The word 'duration' is a thing, it means the period of time during which something continues.","On a snowy day, Mia decided to ___ while she the period of time during which something continues. Choices: [duration, sleep, laugh]"
11,ease,v,move gently or carefully,ease,"peace, facility, help, guide, satisfy, make less",🔑 Remember: 'ease' sounds like 'eas' and means move gently or carefully.,Every day we can 'ease' when we move gently or carefully.,"Sara’s teacher asked the class to ___ to show they could move gently or carefully. Choices: [ease, draw, play]"
11,efficiency,n,the ratio of the output to the input of any system,efficiency,"effectiveness, expert in increasing productivity, preciseness, power, ability, ability",🔑 Remember: 'efficiency' sounds like 'eff' and means the ratio of the output to the input of any system.,"The word 'efficiency' is a thing, it means the ratio of the output to the input of any system.","In the middle of the forest, animals love to ___ because they the ratio of the output to the input of any system. Choices: [efficiency, hide, sing]"
11,elect,v,select by a vote for an office or membership,elect,"select, excellent, pick out, assign, designate, demand",🔑 Remember: 'elect' sounds like 'ele' and means select by a vote for an office or membership.,Every day we can 'elect' when we select by a vote for an office or membership.,"During the big game, the team had to ___ if they wanted to select by a vote for an office or membership. Choices: [elect, run, jump]"
11,elementary,adj,easy and not involved or complicated,"elementary, simple, uncomplicated, unproblematic","basic, primary school, not difficult, rudimentary, basic, earliest",🔑 Remember: 'elementary' sounds like 'ele' and means easy and not involved or complicated.,My dog is 'elementary' because it is easy and not involved or complicated.,"On a snowy day, Mia decided to ___ while she easy and not involved or complicated. Choices: [elementary, sleep, laugh]"
11,eliminate,v,"terminate, end, or take out","extinguish, eliminate, get rid of, do away with","throw out, eliminate, remove, murder, dismiss, dismiss from service","🔑 Remember: 'eliminate' sounds like 'eli' and means terminate, end, or take out.","Every day we can 'eliminate' when we terminate, end, or take out.","In the middle of the forest, animals love to ___ because they terminate, end, or take out. Choices: [eliminate, hide, sing]"
11,elite,n,a group or class of persons enjoying superior intellectual or social or economic status,"elite, elite group","first-class, high class, upper class, privileged, privileged, expert",🔑 Remember: 'elite' sounds like 'eli' and means a group or class of persons enjoying superior intellectual or social or economic status.,"The word 'elite' is a thing, it means a group or class of persons enjoying superior intellectual or social or economic status.","Sara’s teacher asked the class to ___ to show they could a group or class of persons enjoying superior intellectual or social or economic status. Choices: [elite, draw, play]"
11,embed,v,fix or set securely or deeply,"implant, engraft, embed, imbed, plant","implant, plant, plant, carve, establish, join",🔑 Remember: 'embed' sounds like 'emb' and means fix or set securely or deeply.,Every day we can 'embed' when we fix or set securely or deeply.,"On a rainy day, Mia decided to ___ while she fix or set securely or deeply. Choices: [embed, sleep, laugh]"
11,emerge,v,"come out into view, as from concealment",emerge,"come out, emerge, happen, evolve, happen, arise","🔑 Remember: 'emerge' sounds like 'eme' and means come out into view, as from concealment.","Every day we can 'emerge' when we come out into view, as from concealment.","Sara’s teacher asked the class to ___ to show they could come out into view, as from concealment. Choices: [emerge, draw, play]"
11,emotional,adj,determined or actuated by emotion rather than reason,emotional,,🔑 Remember: 'emotional' sounds like 'emo' and means determined or actuated by emotion rather than reason.,My dog is 'emotional' because it is determined or actuated by emotion rather than reason.,"Tom found a magic box that could ___ when he determined or actuated by emotion rather than reason. Choices: [emotional, dance, eat]"
11,emphasis,n,special importance or significance,"emphasis, accent","importance, importance, stress, articulation, overstatement, verbalization",🔑 Remember: 'emphasis' sounds like 'emp' and means special importance or significance.,"The word 'emphasis' is a thing, it means special importance or significance.","During the big game, the team had to ___ if they wanted to special importance or significance. Choices: [emphasis, run, jump]"
11,encounter,v,come together,"meet, run into, encounter, run across, come across, see","meeting, fight, happen upon, fight, encounter, insult",🔑 Remember: 'encounter' sounds like 'enc' and means come together.,Every day we can 'encounter' when we come together.,"Tom found a magic box that could ___ when he come together. Choices: [encounter, dance, eat]"
11,enemy,n,an opposing military force,enemy,"foe, common enemy, opponent, hate, problem, attacker",🔑 Remember: 'enemy' sounds like 'ene' and means an opposing military force.,"The word 'enemy' is a thing, it means an opposing military force.","During the big game, the team had to ___ if they wanted to an opposing military force. Choices: [enemy, run, jump]"
11,enroll,v,register formally as a participant or member,"enroll, inscribe, enter, enrol, recruit","sign up, list, designate, delegate, enroll, use",🔑 Remember: 'enroll' sounds like 'enr' and means register formally as a participant or member.,Every day we can 'enroll' when we register formally as a participant or member.,"On a sunny day, Mia decided to ___ while she register formally as a participant or member. Choices: [enroll, sleep, laugh]"
11,equip,v,provide with (something) usually for a specific purpose,"equip, fit, fit out, outfit","ready, add ornament, furnish, clothe, cover, carry out",🔑 Remember: 'equip' sounds like 'equ' and means provide with (something) usually for a specific purpose.,Every day we can 'equip' when we provide with (something) usually for a specific purpose.,"In the middle of the forest, animals love to ___ because they provide with (something) usually for a specific purpose. Choices: [equip, hide, sing]"
11,era,n,a period marked by distinctive character or reckoned from a fixed point or event,"era, epoch","period, age group, period, in the year of our Lord, phase, time",🔑 Remember: 'era' sounds like 'era' and means a period marked by distinctive character or reckoned from a fixed point or event.,"The word 'era' is a thing, it means a period marked by distinctive character or reckoned from a fixed point or event.","In the middle of the forest, animals love to ___ because they a period marked by distinctive character or reckoned from a fixed point or event. Choices: [era, hide, sing]"
11,erotic,adj,giving sexual pleasure; sexually arousing,"erotic, titillating","sexy, dance that stimulates erotic thoughts, dancer who provides erotic entertainment, affectionate, affectionate, seductive; inducing sex",🔑 Remember: 'erotic' sounds like 'ero' and means giving sexual pleasure; sexually arousing.,My dog is 'erotic' because it is giving sexual pleasure; sexually arousing.,"During the big game, the team had to ___ if they wanted to giving sexual pleasure; sexually arousing. Choices: [erotic, run, jump]"
11,escape,v,run away from confinement,"escape, get away, break loose","getaway, break free, legal provision to get out of a contract, strategy to avoid unpleasant realities, emergency exit, leave",🔑 Remember: 'escape' sounds like 'esc' and means run away from confinement.,Every day we can 'escape' when we run away from confinement.,"Sara’s teacher asked the class to ___ to show they could run away from confinement. Choices: [escape, draw, play]"
11,escort,v,accompany as an escort,escort,"accompaniment, guard, escort, escort, server, boyfriend",🔑 Remember: 'escort' sounds like 'esc' and means accompany as an escort.,Every day we can 'escort' when we accompany as an escort.,"During the big game, the team had to ___ if they wanted to accompany as an escort. Choices: [escort, run, jump]"
11,essay,n,an analytic or interpretive literary composition,essay,"dissertation, attempt, attempt, point, writing, try",🔑 Remember: 'essay' sounds like 'ess' and means an analytic or interpretive literary composition.,"The word 'essay' is a thing, it means an analytic or interpretive literary composition.","Tom found a magic box that could ___ when he an analytic or interpretive literary composition. Choices: [essay, dance, eat]"
11,establishment,n,the act of forming or establishing something,"constitution, establishment, formation, organization, organisation","creation, business, bureaucracy, expert, administration, enterprise",🔑 Remember: 'establishment' sounds like 'est' and means the act of forming or establishing something.,"The word 'establishment' is a thing, it means the act of forming or establishing something.","On a sunny day, Mia decided to ___ while she the act of forming or establishing something. Choices: [establishment, sleep, laugh]"
11,ethic,n,the principles of right and wrong that are accepted by an individual or a social group,"ethic, moral principle, value-system, value orientation","moral philosophy, values, morality, principles, law, morals, belief, morality; morals",🔑 Remember: 'ethic' sounds like 'eth' and means the principles of right and wrong that are accepted by an individual or a social group.,"The word 'ethic' is a thing, it means the principles of right and wrong that are accepted by an individual or a social group.","Sara’s teacher asked the class to ___ to show they could the principles of right and wrong that are accepted by an individual or a social group. Choices: [ethic, draw, play]"
11,ethnic,adj,denoting or deriving from or distinctive of the ways of living built up by a group of people,"cultural, ethnic, ethnical","cultural, mass killing of an ethnic group, relations, mass extermination, mass killing, doctrine acknowledging contributions and interests of many cultures",🔑 Remember: 'ethnic' sounds like 'eth' and means denoting or deriving from or distinctive of the ways of living built up by a group of people.,My dog is 'ethnic' because it is denoting or deriving from or distinctive of the ways of living built up by a group of people.,"In the middle of the forest, animals love to ___ because they denoting or deriving from or distinctive of the ways of living built up by a group of people. Choices: [ethnic, hide, sing]"
11,eventual,adj,expected to follow in the indefinite future from causes already operating,eventual,"future, approaching, last, expected, roundabout, final",🔑 Remember: 'eventual' sounds like 'eve' and means expected to follow in the indefinite future from causes already operating.,My dog is 'eventual' because it is expected to follow in the indefinite future from causes already operating.,"Sara’s teacher asked the class to ___ to show they could expected to follow in the indefinite future from causes already operating. Choices: [eventual, draw, play]"
11,evolution,n,a process in which something passes by degrees to a different stage (especially a more advanced or mature stage),"development, evolution","progress, growth, growth, composition, development, development",🔑 Remember: 'evolution' sounds like 'evo' and means a process in which something passes by degrees to a different stage (especially a more advanced or mature stage).,"The word 'evolution' is a thing, it means a process in which something passes by degrees to a different stage (especially a more advanced or mature stage).","In the middle of the forest, animals love to ___ because they a process in which something passes by degrees to a different stage (especially a more advanced or mature stage). Choices: [evolution, hide, sing]"
11,excel,v,distinguish oneself,"excel, stand out, surpass","surpass, defeat, defeat, improve, better, outdo",🔑 Remember: 'excel' sounds like 'exc' and means distinguish oneself.,Every day we can 'excel' when we distinguish oneself.,"During the big game, the team had to ___ if they wanted to distinguish oneself. Choices: [excel, run, jump]"
11,excerpt,v,take out of a literary work in order to cite or copy,"excerpt, extract, take out","citation, take part, collection, piece, select, quote",🔑 Remember: 'excerpt' sounds like 'exc' and means take out of a literary work in order to cite or copy.,Every day we can 'excerpt' when we take out of a literary work in order to cite or copy.,"In the middle of the forest, animals love to ___ because they take out of a literary work in order to cite or copy. Choices: [excerpt, hide, sing]"
11,excess,n,a quantity much larger than is needed,"excess, surplus, surplusage, nimiety",,🔑 Remember: 'excess' sounds like 'exc' and means a quantity much larger than is needed.,"The word 'excess' is a thing, it means a quantity much larger than is needed.","Sara’s teacher asked the class to ___ to show they could a quantity much larger than is needed. Choices: [excess, draw, play]"
11,execute,v,kill as a means of socially sanctioned punishment,"execute, put to death","kill, carry out, accomplish, do, behave, manage",🔑 Remember: 'execute' sounds like 'exe' and means kill as a means of socially sanctioned punishment.,Every day we can 'execute' when we kill as a means of socially sanctioned punishment.,"On a snowy day, Mia decided to ___ while she kill as a means of socially sanctioned punishment. Choices: [execute, sleep, laugh]"
11,expansion,n,the act of increasing (something) in size or volume or quantity or scope,"expansion, enlargement","growth, growth, economic growth, accessory, increase, improving",🔑 Remember: 'expansion' sounds like 'exp' and means the act of increasing (something) in size or volume or quantity or scope.,"The word 'expansion' is a thing, it means the act of increasing (something) in size or volume or quantity or scope.","During the big game, the team had to ___ if they wanted to the act of increasing (something) in size or volume or quantity or scope. Choices: [expansion, run, jump]"
11,expensive,adj,high in price or charging high prices,expensive,"high-priced, superior, extravagant, indulgent, excellent, extreme",🔑 Remember: 'expensive' sounds like 'exp' and means high in price or charging high prices.,My dog is 'expensive' because it is high in price or charging high prices.,"On a rainy day, Mia decided to ___ while she high in price or charging high prices. Choices: [expensive, sleep, laugh]"
11,experimental,adj,relating to or based on experiment,experimental,"exploratory, avant-garde film, unconventional, being tested, practical; based on experience, practical",🔑 Remember: 'experimental' sounds like 'exp' and means relating to or based on experiment.,My dog is 'experimental' because it is relating to or based on experiment.,"During the big game, the team had to ___ if they wanted to relating to or based on experiment. Choices: [experimental, run, jump]"
11,expire,v,lose validity,"run out, expire","end, breathe out, pass away, inhale, pass away, die",🔑 Remember: 'expire' sounds like 'exp' and means lose validity.,Every day we can 'expire' when we lose validity.,"Tom found a magic box that could ___ when he lose validity. Choices: [expire, dance, eat]"
11,explicit,adj,precisely and clearly expressed or readily observable; leaving nothing to implication,"explicit, expressed","specific, precise, straightforward, full, neat, understandable",🔑 Remember: 'explicit' sounds like 'exp' and means precisely and clearly expressed or readily observable; leaving nothing to implication.,My dog is 'explicit' because it is precisely and clearly expressed or readily observable; leaving nothing to implication.,"Tom found a magic box that could ___ when he precisely and clearly expressed or readily observable; leaving nothing to implication. Choices: [explicit, dance, eat]"
11,expose,v,expose or make accessible to some action or influence,expose,"disclosure, reveal, endanger, incrimination, confess, publicize",🔑 Remember: 'expose' sounds like 'exp' and means expose or make accessible to some action or influence.,Every day we can 'expose' when we expose or make accessible to some action or influence.,"Sara’s teacher asked the class to ___ to show they could expose or make accessible to some action or influence. Choices: [expose, draw, play]"
